job_id,job_title,company_type,industry,country,city,remote_type,experience_level,min_experience_years,salary_min_usd,salary_max_usd,employment_type,employment_type,posted_year,company_size
F7WAH1SYUOD2,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,BRISBANE,HYBRID,ENTRY,0,54576,88529,71552.5,FULL-TIME,2026,LARGE
VM6Z61V4TB76,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,BRISBANE,HYBRID,MID,2,93832,109654,101743,FULL-TIME,2026,LARGE
MJ2F1MUURPBB,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,BRISBANE,HYBRID,MID,2,97391,111659,104525,FULL-TIME,2026,LARGE
9XAI3CE0DTFI,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,BRISBANE,HYBRID,MID,2,99740,123686,111713,FULL-TIME,2026,MEDIUM
B5PEBVMM0I5R,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,BRISBANE,ONSITE,SENIOR,5,146185,178356,162270.5,FULL-TIME,2026,SMALL
O9VOCOJ2IOH9,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,MELBOURNE,HYBRID,SENIOR,5,149339,165063,157201,FULL-TIME,2026,SMALL
SXOXBGB27E38,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,MELBOURNE,ONSITE,MID,2,102872,115953,109412.5,FULL-TIME,2026,LARGE
KLTBK26A0HT6,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,MELBOURNE,ONSITE,SENIOR,5,150986,177360,164173,FULL-TIME,2026,SMALL
NNBCM9EVEPE2,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,REMOTE,REMOTE,ENTRY,0,60694,86599,73646.5,FULL-TIME,2026,MEDIUM
13AC8DR5DE1D,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,REMOTE,REMOTE,ENTRY,0,62098,74360,68229,FULL-TIME,2026,LARGE
29CKYBV8M07N,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,REMOTE,REMOTE,MID,2,92490,126527,109508.5,FULL-TIME,2026,SMALL
14F0IE40ZP2G,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,REMOTE,REMOTE,MID,2,101819,117916,109867.5,FULL-TIME,2026,LARGE
ZHAB1WOH1SM7,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,REMOTE,REMOTE,MID,2,103412,127992,115702,FULL-TIME,2026,LARGE
KEE09NDLQFM7,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,SYDNEY,HYBRID,ENTRY,0,59147,88856,74001.5,FULL-TIME,2026,LARGE
SGX1WU1ISD91,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,SYDNEY,HYBRID,ENTRY,0,60400,86379,73389.5,FULL-TIME,2026,SMALL
POEYZFA1AU62,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,SYDNEY,HYBRID,MID,2,92557,118790,105673.5,FULL-TIME,2026,LARGE
VQBZKVCKO3TB,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,SYDNEY,HYBRID,SENIOR,5,141771,156802,149286.5,FULL-TIME,2026,MEDIUM
R0XB8GKEQGK1,AI RESEARCHER,MNC,EDUCATION,AUSTRALIA,SYDNEY,ONSITE,SENIOR,5,143122,159488,151305,FULL-TIME,2026,SMALL
CHUYT9OPBFSK,AI RESEARCHER,MNC,EDUCATION,CANADA,MONTREAL,HYBRID,ENTRY,0,53764,71884,62824,FULL-TIME,2026,LARGE
